Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.867168,0.801782,0.422879,0.833194,13,17,3140384299.000000,2542265339.000000,0.000000,399,.,.,255.000000,139.000000,,1.8345323741007193,346,.,.,232.000000,109.000000,,2.128440366972477,53,.,.,23.000000,30.000000,,0.7666666666666667,778,.,.,594.000000,179.000000,,3.3184357541899443,360,.,.,245.000000,113.000000,,2.168141592920354,89,.,.,85.000000,4.000000,,21.25,329,.,.,264.000000,62.000000,,4.258064516129032
INDEL,*,*,PASS,*,QUAL,*,0.867168,0.801782,0.422879,0.833194,13,17,3140384299.000000,2542265339.000000,0.000000,399,.,.,255.000000,139.000000,,1.8345323741007193,346,.,.,232.000000,109.000000,,2.128440366972477,53,.,.,23.000000,30.000000,,0.7666666666666667,778,.,.,594.000000,179.000000,,3.3184357541899443,360,.,.,245.000000,113.000000,,2.168141592920354,89,.,.,85.000000,4.000000,,21.25,329,.,.,264.000000,62.000000,,4.258064516129032
INDEL,*,TS_contained,ALL,*,QUAL,*,0.867168,0.801782,0.0,0.833194,13,17,2542265339.000000,2542265339.000000,0.000000,399,.,.,255.000000,139.000000,,1.8345323741007193,346,.,.,232.000000,109.000000,,2.128440366972477,53,.,.,23.000000,30.000000,,0.7666666666666667,449,.,.,330.000000,117.000000,,2.8205128205128207,360,.,.,245.000000,113.000000,,2.168141592920354,89,.,.,85.000000,4.000000,,21.25,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.867168,0.801782,0.0,0.833194,13,17,2542265339.000000,2542265339.000000,0.000000,399,.,.,255.000000,139.000000,,1.8345323741007193,346,.,.,232.000000,109.000000,,2.128440366972477,53,.,.,23.000000,30.000000,,0.7666666666666667,449,.,.,330.000000,117.000000,,2.8205128205128207,360,.,.,245.000000,113.000000,,2.168141592920354,89,.,.,85.000000,4.000000,,21.25,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542265339.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542265339.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2542265339.000000,2542265339.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2542265339.000000,2542265339.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542265339.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542265339.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
