Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.894831,0.88547,0.340474,0.890126,11,9,3140384299.000000,2542267649.000000,0.000000,561,.,.,341.000000,209.000000,,1.631578947368421,502,.,.,313.000000,182.000000,,1.7197802197802199,59,.,.,28.000000,27.000000,,1.037037037037037,887,.,.,624.000000,259.000000,,2.4092664092664093,518,.,.,330.000000,186.000000,,1.7741935483870968,67,.,.,63.000000,4.000000,,15.75,302,.,.,231.000000,69.000000,,3.347826086956522
INDEL,*,*,PASS,*,QUAL,*,0.894831,0.88547,0.340474,0.890126,11,9,3140384299.000000,2542267649.000000,0.000000,561,.,.,341.000000,209.000000,,1.631578947368421,502,.,.,313.000000,182.000000,,1.7197802197802199,59,.,.,28.000000,27.000000,,1.037037037037037,887,.,.,624.000000,259.000000,,2.4092664092664093,518,.,.,330.000000,186.000000,,1.7741935483870968,67,.,.,63.000000,4.000000,,15.75,302,.,.,231.000000,69.000000,,3.347826086956522
INDEL,*,TS_contained,ALL,*,QUAL,*,0.894831,0.88547,0.0,0.890126,11,9,2542267649.000000,2542267649.000000,0.000000,561,.,.,341.000000,209.000000,,1.631578947368421,502,.,.,313.000000,182.000000,,1.7197802197802199,59,.,.,28.000000,27.000000,,1.037037037037037,585,.,.,393.000000,190.000000,,2.068421052631579,518,.,.,330.000000,186.000000,,1.7741935483870968,67,.,.,63.000000,4.000000,,15.75,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.894831,0.88547,0.0,0.890126,11,9,2542267649.000000,2542267649.000000,0.000000,561,.,.,341.000000,209.000000,,1.631578947368421,502,.,.,313.000000,182.000000,,1.7197802197802199,59,.,.,28.000000,27.000000,,1.037037037037037,585,.,.,393.000000,190.000000,,2.068421052631579,518,.,.,330.000000,186.000000,,1.7741935483870968,67,.,.,63.000000,4.000000,,15.75,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2542267649.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2542267649.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2542267649.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2542267649.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3140384299.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2542267649.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2542267649.000000,2542267649.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.952381,1.0,0.655172,0.97561,0,0,3140384299.000000,2542267649.000000,0.000000,21,.,.,12.000000,9.000000,,1.3333333333333333,20,.,.,12.000000,8.000000,,1.5,1,.,.,0.000000,1.000000,,0.0,58,.,.,45.000000,13.000000,,3.4615384615384617,20,.,.,12.000000,8.000000,,1.5,0,.,.,0.000000,0.000000,,,38,.,.,33.000000,5.000000,,6.6
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.952381,1.0,0.655172,0.97561,0,0,3140384299.000000,2542267649.000000,0.000000,21,.,.,12.000000,9.000000,,1.3333333333333333,20,.,.,12.000000,8.000000,,1.5,1,.,.,0.000000,1.000000,,0.0,58,.,.,45.000000,13.000000,,3.4615384615384617,20,.,.,12.000000,8.000000,,1.5,0,.,.,0.000000,0.000000,,,38,.,.,33.000000,5.000000,,6.6
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.952381,1.0,0.0,0.97561,0,0,2542267649.000000,2542267649.000000,0.000000,21,.,.,12.000000,9.000000,,1.3333333333333333,20,.,.,12.000000,8.000000,,1.5,1,.,.,0.000000,1.000000,,0.0,20,.,.,12.000000,8.000000,,1.5,20,.,.,12.000000,8.000000,,1.5,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,0.952381,1.0,0.0,0.97561,0,0,2542267649.000000,2542267649.000000,0.000000,21,.,.,12.000000,9.000000,,1.3333333333333333,20,.,.,12.000000,8.000000,,1.5,1,.,.,0.000000,1.000000,,0.0,20,.,.,12.000000,8.000000,,1.5,20,.,.,12.000000,8.000000,,1.5,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,ALL,*,QUAL,*,0.908297,0.859438,0.278261,0.883192,5,6,3140384299.000000,2542267649.000000,0.000000,229,.,.,149.000000,75.000000,,1.9866666666666666,208,.,.,141.000000,64.000000,,2.203125,21,.,.,8.000000,11.000000,,0.7272727272727273,345,.,.,258.000000,87.000000,,2.9655172413793105,214,.,.,148.000000,66.000000,,2.242424242424242,35,.,.,33.000000,2.000000,,16.5,96,.,.,77.000000,19.000000,,4.052631578947368
